max_depth,max_features,min_impurity_decrease,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,score,generalization_score
9,0.267458909988376,0.30138168803582105,0.083360328995513,0.070058434405707,0.123505898079574,0.10577574525745259,0.08055555555555556
7,0.6020791473690711,0.48183138025051403,0.044472480364563007,0.38018445062536704,0.078331441745601,0.10577574525745259,0.08055555555555556
9,0.7033204209752381,0.035518029098943006,0.014036718835817,0.010973585341781,0.25544111374655504,0.6506629887727449,0.5972222222222222
12,0.544787159447375,0.48930917111638206,0.22425114674628402,0.08335745696734101,0.20856784511275603,0.10577574525745259,0.08055555555555556
3,0.18925567537030202,0.07167664370452301,0.39507149928225904,0.110006634215878,0.050218066274631004,0.10577574525745259,0.08055555555555556
12,0.72,0.01,0.31,0.55,0.29,0.37929248935346493,0.475
12,0.75,0.0,0.33,0.57,0.29,0.10577574525745259,0.08055555555555556
8,0.43,0.0,0.24,0.59,0.18,0.4884678668215254,0.35555555555555557
12,0.74,0.0,0.32,0.58,0.28,0.10577574525745259,0.08055555555555556
9,0.71,0.0,0.17,0.43,0.23,0.5267857142857143,0.425
12,0.54,0.0,0.22,0.08,0.21,0.439820460704607,0.4361111111111111
12,0.72,0.0,0.31,0.55,0.29,0.37929248935346493,0.475
12,0.54,0.0,0.22,0.08,0.21,0.439820460704607,0.4361111111111111
12,0.54,0.0,0.22,0.08,0.21,0.439820460704607,0.4361111111111111
9,0.71,0.0,0.07,0.43,0.23,0.5462809717382888,0.40555555555555556
